academic_year,jae_course_code,course_name,url
2021,C45,DIPLOMA IN APPLIED CHEMISTRY,-
2021,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,-
2021,C47,DIPLOMA IN SOCIAL WORK,-
2021,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,-
2021,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,-
2021,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,-
2021,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,-
2021,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,-
2021,C59,DIPLOMA IN INTERACTION DESIGN,-
2021,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,-
2021,C62,DIPLOMA IN ADVANCED & DIGITAL MANUFACTURING,-
2021,C63,DIPLOMA IN VISUAL COMMUNICATION,-
2021,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,-
2021,C66,DIPLOMA IN MOTION GRAPHICS DESIGN,-
2021,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,-
2021,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,-
2021,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,-
2021,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,-
2021,C72,DIPLOMA IN ORAL HEALTH THERAPY,-
2021,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,-
2021,C75,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,-
2021,C80,DIPLOMA IN INFOCOMM & SECURITY,-
2021,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,-
2021,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2021,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,-
2021,C89,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,-
2021,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2021,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2021,C96,DIPLOMA IN BANKING AND FINANCE,-
2021,C97,DIPLOMA IN NURSING,-
2021,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2022,C31,DIPLOMA IN AI & DATA ENGINEERING,-
2022,C32,DIPLOMA IN EXPERIENTIAL PRODUCT & INTERIOR DESIGN,-
2022,C33,DIPLOMA IN ANIMATION & VISUAL EFFECTS,-
2022,C34,COMMON BUSINESS PROGRAMME,-
2022,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,-
2022,C36,COMMON ICT PROGRAMME,-
2022,C38,DIPLOMA IN ARCHITECTURE,-
2022,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,-
2022,C42,COMMON ENGINEERING PROGRAMME,-
2022,C43,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,-
2022,C45,DIPLOMA IN APPLIED CHEMISTRY,-
2022,C46,DIPLOMA IN FOOD & BEVERAGE BUSINESS,-
2022,C47,DIPLOMA IN SOCIAL WORK,-
2022,C49,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,-
2022,C50,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,-
2022,C51,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,-
2022,C52,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,-
2022,C54,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,-
2022,C59,DIPLOMA IN INTERACTION DESIGN,-
2022,C60,DIPLOMA IN DIGITAL GAME ART & DESIGN,-
2022,C62,DIPLOMA IN ADVANCED & DIGITAL MANUFACTURING,-
2022,C63,DIPLOMA IN VISUAL COMMUNICATION,-
2022,C65,DIPLOMA IN PHARMACEUTICAL SCIENCE,-
2022,C66,DIPLOMA IN MOTION GRAPHICS DESIGN,-
2022,C67,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,-
2022,C69,DIPLOMA IN FOOD SCIENCE & NUTRITION,-
2022,C70,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,-
2022,C71,DIPLOMA IN BIOMEDICAL ENGINEERING,-
2022,C72,DIPLOMA IN ORAL HEALTH THERAPY,-
2022,C73,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,-
2022,C75,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,-
2022,C80,DIPLOMA IN INFOCOMM & SECURITY,-
2022,C81,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,-
2022,C85,DIPLOMA IN INFORMATION TECHNOLOGY,-
2022,C87,DIPLOMA IN ROBOTICS & MECHATRONICS,-
2022,C89,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,-
2022,C93,DIPLOMA IN MASS MEDIA MANAGEMENT,-
2022,C94,DIPLOMA IN BUSINESS MANAGEMENT,-
2022,C96,DIPLOMA IN BANKING AND FINANCE,-
2022,C97,DIPLOMA IN NURSING,-
2022,C98,DIPLOMA IN ACCOUNTANCY & FINANCE,-
2023,C27,COMMON SCIENCE PROGRAMME,https://www.nyp.edu.sg/schools/sas/full-time-courses/common-science-programme.html
2023,C28,COMMON DESIGN & MEDIA PROGRAMME,https://www.nyp.edu.sg/schools/sdm/full-time-courses/common-media-design-programme.html
2023,C29,"DIPLOMA IN ANIMATION, GAMES & VISUAL EFFECTS",https://www.nyp.edu.sg/schools/sdm/full-time-courses/animation-games-visual-effects.html
2023,C30,DIPLOMA IN COMMUNICATION & MOTION DESIGN,https://www.nyp.edu.sg/schools/sdm/full-time-courses/communication-and-motion-design.html
2023,C31,DIPLOMA IN AI & DATA ENGINEERING,https://www.nyp.edu.sg/schools/seg/full-time-courses/ai-and-data-engineering.html
2023,C32,DIPLOMA IN EXPERIENTIAL PRODUCT & INTERIOR DESIGN,https://www.nyp.edu.sg/schools/sdm/full-time-courses/experiential-product-and-interior-design.html
2023,C34,COMMON BUSINESS PROGRAMME,https://www.nyp.edu.sg/schools/sbm/full-time-courses/common-business-programme.html
2023,C35,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,https://www.nyp.edu.sg/schools/sit/full-time-courses/business-and-financial-technology.html
2023,C36,COMMON ICT PROGRAMME,https://www.nyp.edu.sg/schools/sit/full-time-courses/common-ict-programme.html
2023,C38,DIPLOMA IN ARCHITECTURE,https://www.nyp.edu.sg/schools/sdm/full-time-courses/architecture.html
2023,C41,DIPLOMA IN ENGINEERING WITH BUSINESS,https://www.nyp.edu.sg/schools/seg/full-time-courses/engineering-with-business.html
