year,course_type,course_name
2014,Traineeship,Nitec in Electronics (Microelectronics)
2014,Traineeship,Nitec in Fabrication Technology (Hull & Structures)
2014,Traineeship,Nitec in Fabrication Technology (Marine Pipe)
2014,Traineeship,Nitec in Facility Technology (Mechanical & Electrical Services)
2014,Traineeship,Nitec in Food & Beverage Operations
2014,Traineeship,Nitec in Hair Services (Hair Fashion & Design)
2014,Traineeship,Nitec in Info-Communications Technology (Networking & Systems Administration)
2014,Traineeship,Nitec in Marine Electrical Technology
2014,Traineeship,Nitec in Marine Technology
2014,Traineeship,Nitec in Mechatronics
2014,Traineeship,Nitec in Pastry & Baking
2014,Traineeship,Nitec in Port Equipment Technology
2014,Traineeship,Nitec in Retail Services
2014,Traineeship,Nitec in Welding
2014,Traineeship,Nitec in Western Culinary Arts
2015,Full-Time,Higher Nitec in Accounting
2015,Full-Time,Higher Nitec in Aerospace Engineering
2015,Full-Time,Higher Nitec in Banking Services
2015,Full-Time,Higher Nitec in Beauty & Spa Management
2015,Full-Time,Higher Nitec in Biotechnology
2015,Full-Time,Higher Nitec in Broadcast & Media Technology
2015,Full-Time,Higher Nitec in Business Information Systems
2015,Full-Time,Higher Nitec in Chemical Technology
2015,Full-Time,Higher Nitec in Civil & Structural Engineering Design
2015,Full-Time,Higher Nitec in Cyber & Network Security
2015,Full-Time,Higher Nitec in Early Childhood Education
2015,Full-Time,Higher Nitec in e-Business Programming
2015,Full-Time,Higher Nitec in Electrical Engineering
2015,Full-Time,Higher Nitec in Electronics Engineering
2015,Full-Time,Higher Nitec in Engineering with Business
2015,Full-Time,Higher Nitec in Event Management
2015,Full-Time,Higher Nitec in Facility Management
2015,Full-Time,Higher Nitec in Facility Systems Design
2015,Full-Time,Higher Nitec in Filmmaking (Cinematography)
2015,Full-Time,Higher Nitec in Games Art & Design
2015,Full-Time,Higher Nitec in Games Programming & Development
2015,Full-Time,Higher Nitec in Hospitality Operations
2015,Full-Time,Higher Nitec in Human Resource & Administration
2015,Full-Time,Higher Nitec in Information Technology
2015,Full-Time,Higher Nitec in Interactive Design
2015,Full-Time,Higher Nitec in Leisure & Travel Operations
2015,Full-Time,Higher Nitec in Logistics for International Trade
2015,Full-Time,Higher Nitec in Marine & Offshore Technology
2015,Full-Time,Higher Nitec in Marine Engineering
2015,Full-Time,Higher Nitec in Mechanical Engineering
2015,Full-Time,Higher Nitec in Mechatronics Engineering
2015,Full-Time,Higher Nitec in Mobile Unified Communications
